DF_UID,roof_tilt,roof_aspect,roof_area,roof_x,roof_y,SIS,SISDIR,DHI,horizon_S,horizon_SSW,horizon_SWW,horizon_W,horizon_NWW,horizon_SSE,horizon_SEE,horizon_E,horizon_NEE,tilted_radiation
6962892,47,32.0,51.40053272664121,570426.9375,181573.4375,1305.7042946048534,746.9454466913322,558.7271158759426,0.0,0.0,0.0,0.0,6.092796060774058,0.0,2.67589400874244,16.6661689811283,17.058929655287002,1493
5935047,30,-128.0,56.89853461225341,568200.0,200500.09375,1261.451196683522,728.5225620510806,532.9210758719141,20.4714577748225,25.2700729370117,15.3063054038928,14.205517496054,2.9087226734711598,19.5647558799157,2.76096324737255,0.40324984146998494,0.35184742854191703,987
8308644,34,-130.0,60.43642237893075,592689.25,246085.578125,1192.8331903029373,628.0410077795524,564.7610209323993,44.50209916134675,50.1475259462992,46.20601638158161,46.0334705114365,45.7424515585105,18.070038159688306,9.353102227052053,3.02927483369907,10.162918070952099,863
7673132,5,-103.0,16.355416009090714,605611.8125,126814.2578125,1399.4809775447711,861.2897499266943,538.1713649293775,6.33903765678406,16.6611012220383,26.392225265502898,23.9929709434509,23.9929709434509,0.0,8.90752029418945,4.01494175195694,18.7210378646851,1344
9288215,0,0.0,61.09772809706082,587565.3125,118996.0546875,1388.0097174135128,856.3012633678932,531.6623632466743,1.5504762083291994,2.5138207729905804,4.5616233646869695,3.3089001774787903,7.494464907795191,1.01857919991016,1.22323027253151,5.5406175525859,5.987264705821871,1379
5568257,29,144.0,218.20845039422161,538383.6875,197197.515625,1243.599443067296,659.2667088278965,584.3496628363011,36.2423314737777,21.5801081905762,1.03496481478214,1.5554333372662499,0.8067168892206,36.134319419662205,35.9068173492948,32.9052116945386,33.4564636598031,884
4604842,41,75.0,17.199090683128215,521600.34375,148561.3125,1344.9313011652582,816.5927434230283,528.2915133865946,32.9592847824097,28.193857192993196,15.192628860473599,0.0,0.499288320541382,32.2271957397461,35.785118103027294,41.0281753540039,41.0281753540039,1250
5478694,32,130.0,81.65042492382227,558270.0,211711.828125,1282.5282078367454,683.6744318670038,598.8720908896646,20.77968733012675,32.2737828493118,8.09749890118837,12.246080070734001,18.913619697094,19.74915210902689,18.7180353999138,21.289417617023002,21.347329445183306,892
7151675,34,-149.0,26.345877527357203,562535.375,166201.671875,1334.2756018852856,771.4841907910131,562.7708876973088,15.4735916137695,17.420573234558102,24.769527053833,29.03739891052249,24.2003482818604,15.4735916137695,1.64972667694092,0.0,0.0,901
5024548,31,-10.0,22.024871058305024,499783.75,115156.4921875,1309.1425693424187,779.541607769502,529.5294065176276,14.464636039733849,5.08343887329102,5.17053022384644,6.19809093475342,8.537684440612791,12.5208396911621,7.479185295104981,30.754564285278306,35.981169891357396,1434
7419149,7,65.0,50.1696864093841,559305.25,142979.203125,1268.7918669201065,742.7797957009935,525.9570544031884,0.0,0.0,0.6854853630065921,15.215492884318,0.915363808472951,15.632845203081805,23.7148669163386,36.7409407695135,41.768970648447706,1267
9239984,27,82.0,47.39252861675715,585990.5,111279.84375,1414.7653200157285,814.0923414866261,600.6728191610614,2.4172697464625,0.0,2.07806746164958,2.07806746164958,2.789200146993,7.42629790306091,16.214159210523,24.611790100733398,28.054169734319,1291
6858368,25,90.0,63.383507395791256,538483.4375,181023.421875,1261.456438805665,724.2019285960587,537.1978468194636,7.627108544918394,5.57280526955922,1.5442808613181105,4.23404139479001,0.4791073481241861,18.289739012718197,31.503728421529107,40.049984804789204,40.049984804789204,1221
4697852,18,13.0,9.386126614250378,537753.5,151624.96875,1318.350780051756,798.8381458322999,519.4544267505523,0.0,0.0,0.7446081936359409,0.5763634741306299,2.8153612613677996,0.0,1.82060503959656,10.0478900671005,10.6523166894913,1505
4726639,0,0.0,58.17648237526179,541888.9375,152336.875,1353.117478809584,809.116661814519,543.9554330438126,9.831457100808636,8.49517356790602,14.1558712124825,24.4287478923798,23.625,2.8722361093387003,0.41654146835207895,4.29467568174005,13.442651927471195,1284
5941774,38,-144.0,34.60755220132254,575083.875,201216.15625,1258.165784827655,725.6618071735334,532.4835651018467,18.819290280342106,21.201238115628602,29.3083157539368,30.8470586140951,11.801176071167,16.077826182047502,3.88566110531489,4.17734032869339,1.87500046690305,812
9290379,9,-150.0,24.542733660418982,597113.8125,118900.8515625,1392.5652114834693,838.9971981966977,553.549527610185,3.115448355674745,3.51810411612193,7.60273202260335,5.685908476511639,12.9626590410868,1.6788495679696398,4.22690264383952,4.22690264383952,4.35550955931346,1252
9260387,19,24.0,51.053468183977316,590039.75,115225.71875,1388.8815728700738,817.1332998695314,571.7334988582,0.0,1.7741530897716695,14.5018590291341,21.9978044827779,17.4966369469961,0.0,1.0351387262344398,5.2293134133020995,5.454014539718631,1442
4997441,0,0.0,1032.3105927618421,497233.875,120666.6328125,1328.581277598362,794.1765101116916,534.3341430475174,16.272160372530802,18.200906423635303,15.6409944379052,18.2970164875652,20.8968541381895,15.773470250211,11.7805418894272,7.7788723971146,15.998052695000801,1313
9075965,16,-63.0,8.386527007261176,547920.0,165658.984375,1328.2652793290524,770.0313208748883,558.194004011311,10.779559612274198,12.4745388031006,9.29323101043701,0.0,0.39749500155448897,1.99194002151489,2.5907869338989302,8.30623245239258,18.8437252044678,1381
5110516,32,37.0,268.0118911346972,506443.5625,120438.578125,1338.1468872949554,809.4773061745789,528.5960729993659,12.842007611479099,17.181453858103097,3.11574756886278,1.0608190770394001,4.94221473930936,7.84377798012325,8.44520250175681,24.173389396497196,27.340525533471798,1506
6269558,21,83.0,39.99105540304026,582794.0625,185447.21875,1285.1738383955726,732.1764056473633,552.9611097318511,0.4634422262509666,0.30442571474446195,0.0,0.0,1.16695665650898,9.94253611233499,16.0143225391706,24.50810819202,25.4226923518711,1287
9425735,19,-76.0,14.903642559100781,584462.3125,109781.203125,1448.706108967155,835.5692397045378,613.129716436576,15.613835716247552,18.009131622314502,23.0146179199219,16.8421133041382,21.261190986633306,13.2683336257935,6.00454950332642,1.32343125343323,0.0,1365
6841207,19,-23.0,7.925551555358613,536574.5,177730.765625,1279.421002685579,736.3787978526146,542.9857088910206,8.27829607327779,5.16715669631958,4.18895673751831,3.39418379465739,6.32792540391286,10.6283334096273,8.151582082112629,11.2186965942383,2.33898969491323,1449
5116503,36,-37.0,4.527002186665539,504881.59375,121193.2890625,1323.7018702473754,796.9416288331223,526.6844238820853,3.8614327907562296,20.009567260742198,19.5720119476318,15.1097946166992,24.5170974731445,8.56592273712158,0.0,8.195346832275389,50.0528755187988,1393
5621589,41,-122.0,62.01097132944928,561095.5,204652.0,1240.268488537611,698.3171134428917,541.9430858933596,28.7866560618083,41.967441638310795,45.4579248428345,42.927746931711795,32.353492577870696,28.391362508138,6.3325187563896215,5.24611288309097,3.31669652462006,832
5064007,32,-50.0,73.80146478330815,503377.625,117490.375,1304.2560607061282,776.1586998925833,528.0174409541785,21.8494422912598,7.65921535491943,17.2852686564128,16.7821799278259,17.5687985738119,35.9844209035238,18.3982176939646,11.7292747100194,30.494714419046996,1260
6861625,18,-52.0,96.92864286564108,546325.3125,181102.84375,1285.7251097721064,741.8778961426615,543.7779384058613,0.05426550927487285,0.20748592439022892,10.641205072403,24.7752421985973,30.8740511807528,0.35979738357392205,1.54823133349419,13.3721676848151,24.395842378789702,1327
9020558,27,98.0,35.45019777197682,528779.5625,162315.171875,1321.224068596392,770.3160292089078,550.868874533812,10.292370872365105,0.141256637043423,3.3664427995681803,0.0,0.0,13.869881073633804,20.9752286010318,21.733113315370307,20.744582060310602,1231
7189647,18,84.0,31.054441515656553,575074.5,163334.546875,1257.667818453103,706.652772491373,550.9852426408523,5.443785071372986,4.21465349197388,2.00500439604123,1.63105643788973,2.8172279993693,10.9831641515096,15.949878533681199,8.51065317789713,6.69135824839274,1220
4692256,32,72.0,44.401836283424856,538949.0625,151388.65625,1324.7369497338873,802.3703583625328,522.3085515161966,10.049124288558954,0.0,7.73806790113449,7.95409669876099,17.8789386749268,12.102596139907801,20.2239023208618,22.620788025855997,23.3349749326706,1291
4716807,38,-1.0,87.94181038769894,539917.4375,152096.640625,1314.2291269065367,796.287472163881,517.8839825911014,2.9522004334463054,0.169639991389381,1.6480572356118102,2.2747980488671202,13.284980403052401,3.4182596223221897,2.29763021982378,9.02002467711767,15.0704157882267,1601
